8.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/atlassian/aws-scala/aws-scala-core_2.12/8.0.2/aws-scala-core_2.12-8.0.2.jar returned status 404
8.0.3		2017-09-01T05:09:11Z	
8.0.3	tests-sources	2017-09-01T05:09:11Z	
