0.0.4		2015-08-11T00:55:19Z	
0.1.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/talk2object/plum/plum-lib/0.1.14/plum-lib-0.1.14.jar returned status 404
0.1.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/talk2object/plum/plum-lib/0.1.15/plum-lib-0.1.15.jar returned status 404
0.1.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/talk2object/plum/plum-lib/0.1.16/plum-lib-0.1.16.jar returned status 404
0.1.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/talk2object/plum/plum-lib/0.1.21/plum-lib-0.1.21.jar returned status 404
0.1.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/talk2object/plum/plum-lib/0.1.22/plum-lib-0.1.22.jar returned status 404
0.1.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/talk2object/plum/plum-lib/0.1.9/plum-lib-0.1.9.jar returned status 404
