5.2.0		2017-11-28T00:13:03Z	
5.2.0	resources	2017-11-28T00:13:07Z	
5.2.0-RC2		2017-08-07T13:24:39Z	
5.2.0-RC2	resources	2017-08-07T13:24:45Z	
5.2.0-RC3		2017-09-14T19:51:26Z	
5.2.0-RC3	resources	2017-09-14T19:51:29Z	
5.2.0-RC4		2017-10-16T19:54:26Z	
5.2.0-RC4	resources	2017-10-16T19:54:51Z	
5.2.1		2017-12-22T00:39:08Z	
5.2.1	resources	2017-12-22T00:39:19Z	
5.2.2		2018-01-26T21:11:10Z	
5.2.2	resources	2018-01-26T21:11:20Z	
5.2.3		2018-03-03T20:04:16Z	
5.2.3	resources	2018-03-03T20:04:20Z	
5.2.4		2018-04-12T20:41:30Z	
5.2.4	resources	2018-04-12T20:41:34Z	
5.2.5		2018-05-26T15:28:25Z	
5.2.5	resources	2018-05-26T15:28:31Z	
5.2.6		2018-07-05T22:39:14Z	
5.2.6	resources	2018-07-05T22:39:19Z	
5.2.7		2018-08-24T15:16:08Z	
5.2.7	resources	2018-08-24T15:16:18Z	
5.2.8		2018-10-05T16:45:39Z	
5.2.8	resources	2018-10-05T16:45:44Z	
5.2.9		2018-11-19T19:37:02Z	
5.2.9	resources	2018-11-19T19:37:11Z	
5.3.0		2018-06-29T03:49:10Z	
5.3.0	resources	2018-06-29T03:49:14Z	
5.3.0-RC1		2017-12-28T09:16:00Z	
5.3.0-RC1	resources	2017-12-28T09:16:10Z	
5.3.0-RC2		2018-02-09T18:44:20Z	
5.3.0-RC2	resources	2018-02-09T18:44:27Z	
5.3.0-RC3		2018-04-02T20:45:36Z	
5.3.0-RC3	resources	2018-04-02T20:45:40Z	
5.3.0-RC4		2018-05-26T20:40:15Z	
5.3.0-RC4	resources	2018-05-26T20:40:20Z	
5.3.1		2018-07-12T18:41:15Z	
5.3.1	resources	2018-07-12T18:41:22Z	
5.3.10		2019-04-19T11:43:17Z	
5.3.10	resources	2019-04-19T11:43:26Z	
5.3.11		2019-06-16T20:04:44Z	
5.3.11	resources	2019-06-16T20:04:49Z	
5.3.12		2019-09-02T08:12:47Z	
5.3.12	resources	2019-09-02T08:12:56Z	
