8.2.0-beta-13	named	fr.inria.gforge.spoon	spoon-core	2020-06-20T13:05:03Z	11.0.2
4.5.0	named	org.wso2.carbon.automation	test-automation-artifact-remote-coverage	2026-02-02T14:50:19Z	21.0.3
4.5.0	named	org.wso2.carbon.automation	test-automation-artifact-coverage-report	2026-02-02T14:50:20Z	21.0.3
4.5.1	named	org.wso2.carbon.automation	test-automation-artifact-remote-coverage	2026-02-03T06:49:18Z	21.0.3
4.5.1	named	org.wso2.carbon.automation	test-automation-artifact-coverage-report	2026-02-03T06:49:19Z	21.0.3
4.5.2	named	org.wso2.carbon.automation	test-automation-artifact-remote-coverage	2026-03-07T01:20:51Z	21.0.3
4.5.2	named	org.wso2.carbon.automation	test-automation-artifact-coverage-report	2026-03-07T01:20:53Z	21.0.3
4.5.3	named	org.wso2.carbon.automation	test-automation-artifact-remote-coverage	2026-03-09T13:51:11Z	21.0.3
4.5.3	named	org.wso2.carbon.automation	test-automation-artifact-coverage-report	2026-03-09T13:51:13Z	21.0.3
