8.2.0-beta-13	named	fr.inria.gforge.spoon	spoon-core
4.5.3	named	org.wso2.carbon.automation	test-automation-artifact-remote-coverage
4.5.2	named	org.wso2.carbon.automation	test-automation-artifact-remote-coverage
4.5.1	named	org.wso2.carbon.automation	test-automation-artifact-remote-coverage
4.5.0	named	org.wso2.carbon.automation	test-automation-artifact-remote-coverage
