3.18.0-1.2	automatic	com.nextbreakpoint	com.nextbreakpoint.freeimage4java	2018-12-16T16:14:58Z	
3.18.0-2.2	named	com.nextbreakpoint	com.nextbreakpoint.freeimage4java.macos	2024-07-16T17:26:31Z	3.18.0-2.2
3.18.0-2.2	named	com.nextbreakpoint	com.nextbreakpoint.freeimage4java.windows	2024-07-16T17:26:44Z	3.18.0-2.2
3.18.0-2.2	named	com.nextbreakpoint	com.nextbreakpoint.freeimage4java.linux	2024-07-16T17:26:53Z	3.18.0-2.2
