0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/0.0.1/trinity-player-0.0.1.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/0.0.2/trinity-player-0.0.2.jar returned status 404
0.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/0.0.3/trinity-player-0.0.3.jar returned status 404
0.1.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/0.1.16/trinity-player-0.1.16.jar returned status 404
1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/1.0.0/trinity-player-1.0.0.jar returned status 404
1.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/1.0.17/trinity-player-1.0.17.jar returned status 404
1.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/1.0.35/trinity-player-1.0.35.jar returned status 404
1.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/1.0.36/trinity-player-1.0.36.jar returned status 404
1.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/1.0.37/trinity-player-1.0.37.jar returned status 404
1.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/1.0.38/trinity-player-1.0.38.jar returned status 404
1.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/1.0.48/trinity-player-1.0.48.jar returned status 404
2.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/2.0.49/trinity-player-2.0.49.jar returned status 404
2.1.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/2.1.50/trinity-player-2.1.50.jar returned status 404
2.1.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/2.1.52/trinity-player-2.1.52.jar returned status 404
2.1.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/2.1.53/trinity-player-2.1.53.jar returned status 404
2.1.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/2.1.54/trinity-player-2.1.54.jar returned status 404
2.2.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/2.2.55/trinity-player-2.2.55.jar returned status 404
2.2.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/2.2.56/trinity-player-2.2.56.jar returned status 404
2.2.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/2.2.57/trinity-player-2.2.57.jar returned status 404
2.2.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/2.2.58/trinity-player-2.2.58.jar returned status 404
2.2.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/trinityaudio/trinity-player/2.2.60/trinity-player-2.2.60.jar returned status 404
