37.0.0	org.apache.druid	druid-benchmarks	37.0.0
5.23.0	org.mockito	mockito-core	5.23.0
5.22.0	org.mockito	mockito-core	5.22.0
5.21.0	org.mockito	mockito-core	5.21.0
5.20.0	org.mockito	mockito-core	5.20.0
5.19.0	org.mockito	mockito-core	5.19.0
5.18.0	org.mockito	mockito-core	5.18.0
5.17.0	org.mockito	mockito-core	5.17.0
5.16.1	org.mockito	mockito-core	5.16.1
5.16.0	org.mockito	mockito-core	5.16.0
