37.0.0	named	org.apache.druid	druid-benchmarks
5.23.0	named	org.mockito	mockito-core
5.22.0	named	org.mockito	mockito-core
5.21.0	named	org.mockito	mockito-core
5.20.0	named	org.mockito	mockito-core
5.19.0	named	org.mockito	mockito-core
5.18.0	named	org.mockito	mockito-core
5.17.0	named	org.mockito	mockito-core
5.16.1	named	org.mockito	mockito-core
5.16.0	named	org.mockito	mockito-core
5.15.2	automatic	org.mockito	mockito-core
5.14.2	automatic	org.mockito	mockito-core
5.14.1	automatic	org.mockito	mockito-core
5.14.0	automatic	org.mockito	mockito-core
5.13.0	automatic	org.mockito	mockito-core
5.12.0	automatic	org.mockito	mockito-core
5.11.0	automatic	org.mockito	mockito-core
5.10.0	automatic	org.mockito	mockito-core
5.9.0	automatic	org.mockito	mockito-core
5.8.0	automatic	org.mockito	mockito-core
5.7.0	automatic	org.mockito	mockito-core
5.6.0	automatic	org.mockito	mockito-core
5.5.0	automatic	org.mockito	mockito-core
5.4.0	automatic	org.mockito	mockito-core
5.3.1	automatic	org.mockito	mockito-core
5.3.0	automatic	org.mockito	mockito-core
5.2.0	automatic	org.mockito	mockito-core
5.1.1	automatic	org.mockito	mockito-core
5.1.0	automatic	org.mockito	mockito-core
5.0.0	automatic	org.mockito	mockito-core
4.11.0	automatic	org.mockito	mockito-core
4.10.0	automatic	org.mockito	mockito-core
4.9.0	automatic	org.mockito	mockito-core
4.8.1	automatic	org.mockito	mockito-core
4.8.0	automatic	org.mockito	mockito-core
4.7.0	automatic	org.mockito	mockito-core
4.6.1	automatic	org.mockito	mockito-core
4.6.0	automatic	org.mockito	mockito-core
4.5.1	automatic	org.mockito	mockito-core
4.5.0	automatic	org.mockito	mockito-core
4.4.0	automatic	org.mockito	mockito-core
4.3.1	automatic	org.mockito	mockito-core
4.3.0	automatic	org.mockito	mockito-core
4.2.0	automatic	org.mockito	mockito-core
4.1.0	automatic	org.mockito	mockito-core
4.0.0	automatic	org.mockito	mockito-core
3.12.4	automatic	org.mockito	mockito-core
3.12.3	automatic	org.mockito	mockito-core
3.12.2	automatic	org.mockito	mockito-core
3.12.1	automatic	org.mockito	mockito-core
3.12.0	automatic	org.mockito	mockito-core
3.11.2	automatic	org.mockito	mockito-core
3.11.1	automatic	org.mockito	mockito-core
3.11.0	automatic	org.mockito	mockito-core
3.10.0	automatic	org.mockito	mockito-core
3.9.0	automatic	org.mockito	mockito-core
3.8.0	automatic	org.mockito	mockito-core
3.7.7	automatic	org.mockito	mockito-core
3.7.0	automatic	org.mockito	mockito-core
3.6.28	automatic	org.mockito	mockito-core
3.6.0	automatic	org.mockito	mockito-core
3.5.15	automatic	org.mockito	mockito-core
3.5.13	automatic	org.mockito	mockito-core
3.5.11	automatic	org.mockito	mockito-core
3.5.10	automatic	org.mockito	mockito-core
3.5.9	automatic	org.mockito	mockito-core
3.5.7	automatic	org.mockito	mockito-core
3.5.6	automatic	org.mockito	mockito-core
3.5.5	automatic	org.mockito	mockito-core
3.5.2	automatic	org.mockito	mockito-core
3.5.0	automatic	org.mockito	mockito-core
3.4.6	automatic	org.mockito	mockito-core
3.4.4	automatic	org.mockito	mockito-core
3.4.3	automatic	org.mockito	mockito-core
3.4.2	automatic	org.mockito	mockito-core
3.4.0	automatic	org.mockito	mockito-core
3.3.3	automatic	org.mockito	mockito-core
3.3.0	automatic	org.mockito	mockito-core
3.2.4	automatic	org.mockito	mockito-core
3.2.0	automatic	org.mockito	mockito-core
3.1.0	automatic	org.mockito	mockito-core
3.0.0	automatic	org.mockito	mockito-core
2.28.2	automatic	org.mockito	mockito-core
2.28.1	automatic	org.mockito	mockito-core
2.27.0	automatic	org.mockito	mockito-core
2.26.0	automatic	org.mockito	mockito-core
2.25.1	automatic	org.mockito	mockito-core
2.25.0	automatic	org.mockito	mockito-core
2.24.5	automatic	org.mockito	mockito-core
2.24.0	automatic	org.mockito	mockito-core
2.23.4	automatic	org.mockito	mockito-core
2.23.0	automatic	org.mockito	mockito-core
2.22.0	automatic	org.mockito	mockito-core
2.21.0	automatic	org.mockito	mockito-core
2.20.1	automatic	org.mockito	mockito-core
2.20.0	automatic	org.mockito	mockito-core
2.19.1	automatic	org.mockito	mockito-core
2.19.0	automatic	org.mockito	mockito-core
2.18.3	automatic	org.mockito	mockito-core
2.18.0	automatic	org.mockito	mockito-core
2.17.0	automatic	org.mockito	mockito-core
2.16.0	automatic	org.mockito	mockito-core
2.15.0	automatic	org.mockito	mockito-core
2.13.0	automatic	org.mockito	mockito-core
2.12.0	automatic	org.mockito	mockito-core
2.11.0	automatic	org.mockito	mockito-core
