1.1.0	named	io.github.pustike	javax.inject	2018-09-28T04:49:35Z	
1.0.5	named	jakarta.inject	jakarta.inject-api	2021-10-17T17:57:03Z	1.0.5
1.0.3	automatic	jakarta.inject	jakarta.inject-api	2020-09-17T16:55:16Z	
