1.5.3	automatic	com.telenav.thirdparty	protostuff
1.5.2	automatic	com.telenav.kivakit	kivakit-merged-protostuff
1.5.1	automatic	com.telenav.kivakit	kivakit-merged-protostuff
1.5.0	automatic	com.telenav.kivakit	kivakit-merged-protostuff
1.4.2	automatic	com.telenav.kivakit	kivakit-merged-protostuff
