0.1.41-Beta			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.41-Beta/seen-micro-database-0.1.41-Beta.jar returned status 404
0.1.42-Beta			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.42-Beta/seen-micro-database-0.1.42-Beta.jar returned status 404
0.1.45-Beta			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.45-Beta/seen-micro-database-0.1.45-Beta.jar returned status 404
0.1.46-Beta			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.46-Beta/seen-micro-database-0.1.46-Beta.jar returned status 404
0.1.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.47/seen-micro-database-0.1.47.jar returned status 404
0.1.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.48/seen-micro-database-0.1.48.jar returned status 404
0.1.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.49/seen-micro-database-0.1.49.jar returned status 404
0.1.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.50/seen-micro-database-0.1.50.jar returned status 404
0.1.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.54/seen-micro-database-0.1.54.jar returned status 404
0.1.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.55/seen-micro-database-0.1.55.jar returned status 404
0.1.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.56/seen-micro-database-0.1.56.jar returned status 404
0.1.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.57/seen-micro-database-0.1.57.jar returned status 404
0.1.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.58/seen-micro-database-0.1.58.jar returned status 404
0.1.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.59/seen-micro-database-0.1.59.jar returned status 404
0.1.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.60/seen-micro-database-0.1.60.jar returned status 404
0.1.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.61/seen-micro-database-0.1.61.jar returned status 404
0.1.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.62/seen-micro-database-0.1.62.jar returned status 404
0.1.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.63/seen-micro-database-0.1.63.jar returned status 404
0.1.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.64/seen-micro-database-0.1.64.jar returned status 404
0.1.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.66/seen-micro-database-0.1.66.jar returned status 404
0.1.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.67/seen-micro-database-0.1.67.jar returned status 404
0.1.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.68/seen-micro-database-0.1.68.jar returned status 404
0.1.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.69/seen-micro-database-0.1.69.jar returned status 404
0.1.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.70/seen-micro-database-0.1.70.jar returned status 404
0.1.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.71/seen-micro-database-0.1.71.jar returned status 404
0.1.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.72/seen-micro-database-0.1.72.jar returned status 404
0.1.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.73/seen-micro-database-0.1.73.jar returned status 404
0.1.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.74/seen-micro-database-0.1.74.jar returned status 404
0.1.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.75/seen-micro-database-0.1.75.jar returned status 404
0.1.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.76/seen-micro-database-0.1.76.jar returned status 404
0.1.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.77/seen-micro-database-0.1.77.jar returned status 404
0.1.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.78/seen-micro-database-0.1.78.jar returned status 404
0.1.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.79/seen-micro-database-0.1.79.jar returned status 404
0.1.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-micro-database/0.1.80/seen-micro-database-0.1.80.jar returned status 404
