0.1.41-Beta			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.41-Beta/seen-common-0.1.41-Beta.jar returned status 404
0.1.42-Beta			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.42-Beta/seen-common-0.1.42-Beta.jar returned status 404
0.1.45-Beta			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.45-Beta/seen-common-0.1.45-Beta.jar returned status 404
0.1.46-Beta			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.46-Beta/seen-common-0.1.46-Beta.jar returned status 404
0.1.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.47/seen-common-0.1.47.jar returned status 404
0.1.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.48/seen-common-0.1.48.jar returned status 404
0.1.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.49/seen-common-0.1.49.jar returned status 404
0.1.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.50/seen-common-0.1.50.jar returned status 404
0.1.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.54/seen-common-0.1.54.jar returned status 404
0.1.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.55/seen-common-0.1.55.jar returned status 404
0.1.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.56/seen-common-0.1.56.jar returned status 404
0.1.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.57/seen-common-0.1.57.jar returned status 404
0.1.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.58/seen-common-0.1.58.jar returned status 404
