4.8.0	automatic	com.innoventsolutions.birt.runtime	org.eclipse.emf.ecore_2.14.0.v20180529-1144
2.43.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.42.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.41.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.40.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.39.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.38.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.37.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.36.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.35.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.34.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.33.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.29.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.28.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.27.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.26.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.25.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.24.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.23.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.22.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.21.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.20.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.19.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.18.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
2.15.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore
