3.0.1.RELEASE	named	io.github.cbxhpy	hbase-sdk-template_1.3	2023-09-12T10:25:19Z	2.0.19
1.0.1	named	com.hydraql	hydraql-template_1.2	2024-03-24T03:48:16Z	2.0.19
1.0.1	named	com.hydraql	hydraql-shell_1.2	2024-03-24T03:48:32Z	2.0.19
