com.alibaba.fastjson2	allowed
cn.bugstack	blocked
cn.langpy	blocked
cn.lunadeer	blocked
com.dingtalk.open	blocked
com.dolphindb	blocked
com.github.CCweixiao	blocked
com.hydraql	blocked
com.jd.live	blocked
com.jthinking.jdbaudit	blocked
com.simboss.sdk	blocked
com.taobao.arthas	blocked
com.yikuni.mc	blocked
io.dingodb	blocked
io.gitee.soulgoodmans	blocked
io.gitee.yuygoi	blocked
io.github.cbxhpy	blocked
io.github.ifeng113	blocked
io.github.linyimin0812	blocked
io.github.qiaoyk666	blocked
io.github.smartboot.mqtt	blocked
org.apache.seatunnel	blocked
org.smartboot.mqtt	blocked
pro.cutout	blocked
