org.jsoup	allowed
com.adobe.cq	rejected
com.github.hazendaz.jsoup	rejected
com.github.tsantalis	rejected
com.googlecode.blaisemath	rejected
com.opendevise.html5diff	rejected
com.qainsights	rejected
com.sonatype.clm	rejected
dev.lolyay	rejected
io.get-coursier	rejected
io.github.algomaster99	rejected
io.github.cmu-phil	rejected
io.github.haiphamcoder	rejected
io.github.misoares.shaded	rejected
io.github.padreati	rejected
io.johnsonlee.exec	rejected
io.johnsonlee.kx	rejected
io.kestra.plugin	rejected
io.yupiik.maven	rejected
it.vige.cities	rejected
net.serenity-bdd	rejected
net.tlabs-data	rejected
org.apache.flink	rejected
org.apache.tika	rejected
org.easypeelsecurity	rejected
org.finos.legend.sdlc	rejected
org.glavo.hmcl	rejected
org.graylog2	rejected
org.hostile	rejected
org.jboss.pnc.bacon	rejected
org.jboss.pnc.gradle-manipulator	rejected
org.scala-sbt	rejected
org.spdx	rejected
org.tallison.tika	rejected
org.testingisdocumenting.znai	rejected
sh.fyz	rejected
software.amazon.jdbc	rejected
tech.huwei.wrench	rejected
tw.xinshou.discord	rejected
