1.1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/airsaid/statelayout/1.1.0/statelayout-1.1.0.jar returned status 404
1.1.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/airsaid/statelayout/1.1.1/statelayout-1.1.1.jar returned status 404
1.2.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/airsaid/statelayout/1.2.0/statelayout-1.2.0.jar returned status 404
1.2.0	debug-javadoc	2022-07-11T10:39:21Z	
1.2.0	debug-sources	2022-07-11T10:39:10Z	
1.2.0	release-javadoc	2022-07-11T10:39:16Z	
1.2.0	release-sources	2022-07-11T10:39:28Z	
1.2.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/airsaid/statelayout/1.2.1/statelayout-1.2.1.jar returned status 404
1.3.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/airsaid/statelayout/1.3.0/statelayout-1.3.0.jar returned status 404
