1.0.0		2014-05-26T14:08:33Z	
1.0.1		2014-07-04T17:50:02Z	
1.0.2		2014-07-25T21:37:07Z	
1.1.0		2014-09-03T05:42:08Z	
1.1.1		2014-11-19T20:24:00Z	
1.2.0		2014-12-10T09:59:16Z	
1.2.1		2015-02-03T01:13:13Z	
1.2.2		2015-04-05T13:22:34Z	
1.3.0		2015-03-05T23:44:35Z	
1.3.1		2015-04-11T04:47:15Z	
1.4.0		2015-06-10T19:57:07Z	
1.4.1		2015-07-08T23:54:56Z	
1.5.0		2015-09-01T09:51:02Z	
1.5.1		2015-09-24T07:12:29Z	
1.5.2		2015-11-03T20:28:46Z	
1.6.0		2015-12-22T03:35:41Z	
1.6.1		2016-02-27T06:35:49Z	
1.6.2		2016-06-19T23:01:50Z	
1.6.3		2016-11-02T23:54:58Z	
2.0.0		2016-07-19T23:06:31Z	
2.0.0-preview		2016-05-22T21:23:19Z	
2.0.1		2016-09-29T01:31:59Z	
2.0.2		2016-11-08T03:43:30Z	
2.1.0		2016-12-16T07:06:30Z	
2.1.1		2017-04-26T00:45:18Z	
2.1.2		2017-10-03T02:22:31Z	
2.1.3		2018-06-26T18:33:45Z	
2.2.0		2017-07-01T00:35:39Z	
2.2.1		2017-11-25T05:30:40Z	
2.2.2		2018-06-27T19:24:10Z	
2.2.3		2019-01-08T18:54:19Z	
