1.3.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/partnerize/android/tracking/1.3.2/tracking-1.3.2.jar returned status 404
1.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/partnerize/android/tracking/1.4/tracking-1.4.jar returned status 404
1.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/partnerize/android/tracking/1.5/tracking-1.5.jar returned status 404
1.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/partnerize/android/tracking/1.6/tracking-1.6.jar returned status 404
