3.1.1-1.1	automatic	com.nextbreakpoint	com.nextbreakpoint.ffmpeg4java	2018-12-16T16:18:22Z	
7.0.1-1.2	named	com.nextbreakpoint	com.nextbreakpoint.ffmpeg4java.macos	2024-07-16T17:25:55Z	7.0.1-1.2
7.0.1-1.2	named	com.nextbreakpoint	com.nextbreakpoint.ffmpeg4java.windows	2024-07-16T17:26:02Z	7.0.1-1.2
7.0.1-1.2	named	com.nextbreakpoint	com.nextbreakpoint.ffmpeg4java.linux	2024-07-16T17:26:13Z	7.0.1-1.2
