org.graalvm.truffle	allowed
ai.evolv	rejected
ch.zizka.jbake	rejected
com.arcadedb	rejected
com.atlan	rejected
com.dbvis	rejected
com.liquibase.ext	rejected
com.molo17.gluesync.alpha	rejected
com.orientechnologies	rejected
com.walmartlabs.concord	rejected
com.walmartlabs.concord.k8s	rejected
com.walmartlabs.concord.runtime.v1	rejected
com.walmartlabs.concord.runtime.v2	rejected
io.camunda.connectors.community	rejected
io.github.sfali23	rejected
io.hyperfoil.tools	rejected
io.kestra.plugin	rejected
net.neoforged.camelot	rejected
org.cs124.jeed	rejected
org.graphwalker	rejected
org.hl7.fhir.publisher	rejected
org.liquibase.ext	rejected
org.liquibase.io.ext	rejected
org.mitre.synthea	rejected
org.opensearch.migrations.trafficcapture	rejected
org.pkl-lang	rejected
org.restheart	rejected
sh.oso	rejected
tech.catheu	rejected
tools.dscode	rejected
uk.co.kmathers	rejected
