1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/pavelannin/monadic-bom/1.0.0/monadic-bom-1.0.0.jar returned status 404
2024.11.08			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/pavelannin/monadic-bom/2024.11.08/monadic-bom-2024.11.08.jar returned status 404
2024.11.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/pavelannin/monadic-bom/2024.11.13/monadic-bom-2024.11.13.jar returned status 404
2024.11.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/pavelannin/monadic-bom/2024.11.22/monadic-bom-2024.11.22.jar returned status 404
2024.12.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/pavelannin/monadic-bom/2024.12.23/monadic-bom-2024.12.23.jar returned status 404
2024.12.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/pavelannin/monadic-bom/2024.12.24/monadic-bom-2024.12.24.jar returned status 404
2025.01.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/pavelannin/monadic-bom/2025.01.19/monadic-bom-2025.01.19.jar returned status 404
