1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/mapway/mapway-gwt-suit/1.0.0/mapway-gwt-suit-1.0.0.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/mapway/mapway-gwt-suit/1.0.11/mapway-gwt-suit-1.0.11.jar returned status 404
1.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/mapway/mapway-gwt-suit/1.0.12/mapway-gwt-suit-1.0.12.jar returned status 404
1.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/mapway/mapway-gwt-suit/1.0.14/mapway-gwt-suit-1.0.14.jar returned status 404
1.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/mapway/mapway-gwt-suit/1.0.15/mapway-gwt-suit-1.0.15.jar returned status 404
