1.0.6-STABLE	automatic	com.distrimind.upnp_igd	UPnPIGD	2023-01-10T17:49:27Z	
1.1.0-STABLE	named	com.distrimind.upnp_igd	UPnPIGD-Core	2024-08-29T09:47:25Z	
1.2.0-BETA	named	com.distrimind.upnp_igd	UPnPIGD-Core	2024-12-29T02:49:06Z	
