3.0-RC1	named	io.ebean	jakarta-persistence-api	2023-02-19T08:50:37Z	3.0-RC1
3.0	named	io.ebean	jakarta-persistence-api	2023-02-19T11:13:16Z	3.0
3.1	named	io.ebean	jakarta-persistence-api	2025-04-09T07:51:14Z	3.1
3.2	named	io.ebean	jakarta-persistence-api	2026-07-02T09:23:37Z	3.2
