1.0.0		2018-03-19T16:05:56Z	
BETA-1-5-6		2019-01-10T12:05:53Z	
BETA-1.0.0		2017-10-31T05:49:18Z	
BETA-1.0.1		2017-10-31T07:24:09Z	
BETA-1.1.1		2017-11-01T11:03:32Z	
BETA-1.1.3		2017-11-05T19:45:04Z	
BETA-1.1.4		2017-11-09T05:25:20Z	
BETA-1.1.5		2017-11-09T07:06:13Z	
BETA-1.1.6		2017-11-09T10:06:27Z	
BETA-1.1.7		2017-11-10T08:05:10Z	
BETA-1.1.8		2017-11-13T10:02:10Z	
BETA-1.1.9		2017-11-13T10:36:44Z	
BETA-1.2.0		2017-11-16T09:50:41Z	
BETA-1.2.1		2017-11-16T10:48:13Z	
BETA-1.2.2		2017-11-16T12:52:09Z	
BETA-1.2.3		2017-11-16T13:12:05Z	
BETA-1.2.4		2017-11-17T13:22:07Z	
BETA-1.2.5		2017-11-21T10:30:03Z	
BETA-1.2.6		2017-11-22T06:44:22Z	
BETA-1.2.7		2017-11-22T09:52:59Z	
BETA-1.3.0		2017-11-25T08:36:41Z	
BETA-1.3.1		2017-11-25T09:28:10Z	
BETA-1.3.2		2017-11-25T22:16:16Z	
BETA-1.3.3		2017-11-28T06:04:29Z	
BETA-1.3.4		2017-11-28T20:22:28Z	
BETA-1.3.5		2017-11-30T18:07:43Z	
BETA-1.3.6		2017-12-02T19:50:50Z	
BETA-1.3.7		2017-12-03T19:47:01Z	
BETA-1.3.8		2017-12-04T06:45:50Z	
BETA-1.3.9		2017-12-06T09:31:59Z	
BETA-1.4.0		2017-12-07T18:51:54Z	
BETA-1.4.1		2017-12-08T13:23:06Z	
BETA-1.4.2		2017-12-08T14:36:32Z	
BETA-1.4.3		2017-12-09T08:43:35Z	
BETA-1.4.4		2017-12-09T18:06:15Z	
BETA-1.4.5		2017-12-11T08:21:39Z	
BETA-1.4.6		2017-12-19T13:31:26Z	
BETA-1.4.7		2017-12-26T19:28:41Z	
BETA-1.4.8		2017-12-26T19:47:24Z	
BETA-1.4.9		2017-12-30T20:47:24Z	
BETA-1.5.0		2018-01-15T13:14:40Z	
BETA-1.5.1		2018-01-25T11:36:26Z	
BETA-1.5.2		2018-02-07T18:19:15Z	
BETA-1.5.3		2018-03-26T16:53:33Z	
BETA-1.5.4		2018-04-19T19:27:38Z	
BETA-1.5.5		2018-05-18T13:40:52Z	
BETA-1.5.6		2019-01-10T12:20:14Z	
BETA-1.5.8.1		2019-09-12T06:05:03Z	
