0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1/kt_kisopenapi-native-0.1.jar returned status 404
0.1.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.21/kt_kisopenapi-native-0.1.21.jar returned status 404
0.1.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.22/kt_kisopenapi-native-0.1.22.jar returned status 404
0.1.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.24/kt_kisopenapi-native-0.1.24.jar returned status 404
0.1.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.25/kt_kisopenapi-native-0.1.25.jar returned status 404
0.1.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.26/kt_kisopenapi-native-0.1.26.jar returned status 404
0.1.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.27/kt_kisopenapi-native-0.1.27.jar returned status 404
0.1.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.28/kt_kisopenapi-native-0.1.28.jar returned status 404
0.1.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.29/kt_kisopenapi-native-0.1.29.jar returned status 404
0.1.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.30/kt_kisopenapi-native-0.1.30.jar returned status 404
0.1.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.31/kt_kisopenapi-native-0.1.31.jar returned status 404
0.1.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.32/kt_kisopenapi-native-0.1.32.jar returned status 404
0.1.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.33/kt_kisopenapi-native-0.1.33.jar returned status 404
0.1.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.34/kt_kisopenapi-native-0.1.34.jar returned status 404
0.1.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.35/kt_kisopenapi-native-0.1.35.jar returned status 404
0.1.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.36/kt_kisopenapi-native-0.1.36.jar returned status 404
0.1.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.37/kt_kisopenapi-native-0.1.37.jar returned status 404
0.1.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.38/kt_kisopenapi-native-0.1.38.jar returned status 404
0.1.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/devngho/kt_kisopenapi-native/0.1.40/kt_kisopenapi-native-0.1.40.jar returned status 404
