11.12	named	com.github.almasb	fxgl-controllerinput	2020-12-11T08:57:05Z	
11.13	named	com.github.almasb	fxgl-controllerinput	2021-01-26T09:03:50Z	
11.14	named	com.github.almasb	fxgl-controllerinput	2021-03-01T17:02:23Z	
11.15	named	com.github.almasb	fxgl-controllerinput	2021-04-13T08:28:15Z	
11.16	named	com.github.almasb	fxgl-controllerinput	2021-05-25T08:20:26Z	
11.17	named	com.github.almasb	fxgl-controllerinput	2021-07-16T15:49:25Z	
17	named	com.github.almasb	fxgl-controllerinput	2021-12-31T18:19:34Z	17
17.1	named	com.github.almasb	fxgl-controllerinput	2022-03-24T17:37:29Z	17.1
17.2	named	com.github.almasb	fxgl-controllerinput	2022-08-20T16:53:01Z	17.2
17.3	named	com.github.almasb	fxgl-controllerinput	2023-03-30T11:52:34Z	17.3
21	named	com.github.almasb	fxgl-controllerinput	2023-12-28T13:36:54Z	21
21.1	named	com.github.almasb	fxgl-controllerinput	2024-03-27T07:55:13Z	21.1
25	named	com.github.almasb	fxgl-controllerinput	2026-02-05T22:58:32Z	25
25.0.1	named	com.github.almasb	fxgl-controllerinput	2026-02-06T21:22:29Z	25.0.1
26.5	named	io.github.chengenzhao	fxgl-controllerinput	2026-02-13T16:29:21Z	26.5
