25.0.1	com.github.almasb	fxgl-controllerinput	25.0.1
25	com.github.almasb	fxgl-controllerinput	25
21.1	com.github.almasb	fxgl-controllerinput	21.1
21	com.github.almasb	fxgl-controllerinput	21
17.3	com.github.almasb	fxgl-controllerinput	17.3
17.2	com.github.almasb	fxgl-controllerinput	17.2
17.1	com.github.almasb	fxgl-controllerinput	17.1
17	com.github.almasb	fxgl-controllerinput	17
11.17	com.github.almasb	fxgl-controllerinput	11.17
11.16	com.github.almasb	fxgl-controllerinput	11.16
11.15	com.github.almasb	fxgl-controllerinput	11.15
11.14	com.github.almasb	fxgl-controllerinput	11.14
11.13	com.github.almasb	fxgl-controllerinput	11.13
11.12	com.github.almasb	fxgl-controllerinput	11.12
