2.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/intel/analytics/bigdl/bigdl-assembly-spark_3.1.2/2.0.0/bigdl-assembly-spark_3.1.2-2.0.0.jar returned status 404
2.1.0			
2.1.0	jar-with-dependencies	2022-09-24T07:51:44Z	
