0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.1/Parent-Platform-0.0.1.jar returned status 404
0.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.10/Parent-Platform-0.0.10.jar returned status 404
0.0.100			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.100/Parent-Platform-0.0.100.jar returned status 404
0.0.101			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.101/Parent-Platform-0.0.101.jar returned status 404
0.0.102			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.102/Parent-Platform-0.0.102.jar returned status 404
0.0.103			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.103/Parent-Platform-0.0.103.jar returned status 404
0.0.104			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.104/Parent-Platform-0.0.104.jar returned status 404
0.0.105			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.105/Parent-Platform-0.0.105.jar returned status 404
0.0.106			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.106/Parent-Platform-0.0.106.jar returned status 404
0.0.107			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.107/Parent-Platform-0.0.107.jar returned status 404
0.0.108			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.108/Parent-Platform-0.0.108.jar returned status 404
0.0.109			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.109/Parent-Platform-0.0.109.jar returned status 404
0.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.11/Parent-Platform-0.0.11.jar returned status 404
0.0.110			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.110/Parent-Platform-0.0.110.jar returned status 404
0.0.111			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.111/Parent-Platform-0.0.111.jar returned status 404
0.0.113			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.113/Parent-Platform-0.0.113.jar returned status 404
0.0.114			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.114/Parent-Platform-0.0.114.jar returned status 404
0.0.115			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.115/Parent-Platform-0.0.115.jar returned status 404
0.0.116			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.116/Parent-Platform-0.0.116.jar returned status 404
0.0.117			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.117/Parent-Platform-0.0.117.jar returned status 404
0.0.118			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.118/Parent-Platform-0.0.118.jar returned status 404
0.0.119			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.119/Parent-Platform-0.0.119.jar returned status 404
0.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.12/Parent-Platform-0.0.12.jar returned status 404
0.0.120			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.120/Parent-Platform-0.0.120.jar returned status 404
0.0.121			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.121/Parent-Platform-0.0.121.jar returned status 404
0.0.122			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.122/Parent-Platform-0.0.122.jar returned status 404
0.0.123			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.123/Parent-Platform-0.0.123.jar returned status 404
0.0.124			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.124/Parent-Platform-0.0.124.jar returned status 404
0.0.125			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.125/Parent-Platform-0.0.125.jar returned status 404
0.0.126			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.126/Parent-Platform-0.0.126.jar returned status 404
0.0.127			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.127/Parent-Platform-0.0.127.jar returned status 404
0.0.128			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.128/Parent-Platform-0.0.128.jar returned status 404
0.0.129			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.129/Parent-Platform-0.0.129.jar returned status 404
0.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.13/Parent-Platform-0.0.13.jar returned status 404
0.0.130			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.130/Parent-Platform-0.0.130.jar returned status 404
0.0.131			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.131/Parent-Platform-0.0.131.jar returned status 404
0.0.132			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.132/Parent-Platform-0.0.132.jar returned status 404
0.0.133			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.133/Parent-Platform-0.0.133.jar returned status 404
0.0.134			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.134/Parent-Platform-0.0.134.jar returned status 404
0.0.135			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.135/Parent-Platform-0.0.135.jar returned status 404
0.0.136			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.136/Parent-Platform-0.0.136.jar returned status 404
0.0.137			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.137/Parent-Platform-0.0.137.jar returned status 404
0.0.138			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.138/Parent-Platform-0.0.138.jar returned status 404
0.0.139			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.139/Parent-Platform-0.0.139.jar returned status 404
0.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.14/Parent-Platform-0.0.14.jar returned status 404
0.0.140			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.140/Parent-Platform-0.0.140.jar returned status 404
0.0.141			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.141/Parent-Platform-0.0.141.jar returned status 404
0.0.142			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.142/Parent-Platform-0.0.142.jar returned status 404
0.0.143			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.143/Parent-Platform-0.0.143.jar returned status 404
0.0.144			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.144/Parent-Platform-0.0.144.jar returned status 404
0.0.145			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.145/Parent-Platform-0.0.145.jar returned status 404
0.0.146			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.146/Parent-Platform-0.0.146.jar returned status 404
0.0.147			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.147/Parent-Platform-0.0.147.jar returned status 404
0.0.148			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.148/Parent-Platform-0.0.148.jar returned status 404
0.0.149			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.149/Parent-Platform-0.0.149.jar returned status 404
0.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.15/Parent-Platform-0.0.15.jar returned status 404
0.0.150			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.150/Parent-Platform-0.0.150.jar returned status 404
0.0.151			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.151/Parent-Platform-0.0.151.jar returned status 404
0.0.152			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.152/Parent-Platform-0.0.152.jar returned status 404
0.0.153			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.153/Parent-Platform-0.0.153.jar returned status 404
0.0.154			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.154/Parent-Platform-0.0.154.jar returned status 404
0.0.155			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.155/Parent-Platform-0.0.155.jar returned status 404
0.0.157			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.157/Parent-Platform-0.0.157.jar returned status 404
0.0.158			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.158/Parent-Platform-0.0.158.jar returned status 404
0.0.159			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.159/Parent-Platform-0.0.159.jar returned status 404
0.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.16/Parent-Platform-0.0.16.jar returned status 404
0.0.160			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.160/Parent-Platform-0.0.160.jar returned status 404
0.0.161			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.161/Parent-Platform-0.0.161.jar returned status 404
0.0.162			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.162/Parent-Platform-0.0.162.jar returned status 404
0.0.163			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.163/Parent-Platform-0.0.163.jar returned status 404
0.0.164			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.164/Parent-Platform-0.0.164.jar returned status 404
0.0.165			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.165/Parent-Platform-0.0.165.jar returned status 404
0.0.166			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.166/Parent-Platform-0.0.166.jar returned status 404
0.0.167			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.167/Parent-Platform-0.0.167.jar returned status 404
0.0.168			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.168/Parent-Platform-0.0.168.jar returned status 404
0.0.169			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.169/Parent-Platform-0.0.169.jar returned status 404
