0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Core/0.0.1/Parent-Core-0.0.1.jar returned status 404
0.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Core/0.0.10/Parent-Core-0.0.10.jar returned status 404
0.0.100			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Core/0.0.100/Parent-Core-0.0.100.jar returned status 404
0.0.101			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Core/0.0.101/Parent-Core-0.0.101.jar returned status 404
0.0.102			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Core/0.0.102/Parent-Core-0.0.102.jar returned status 404
0.0.103			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Core/0.0.103/Parent-Core-0.0.103.jar returned status 404
0.0.104			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Core/0.0.104/Parent-Core-0.0.104.jar returned status 404
0.0.105			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Core/0.0.105/Parent-Core-0.0.105.jar returned status 404
0.0.106			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Core/0.0.106/Parent-Core-0.0.106.jar returned status 404
0.0.107			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Core/0.0.107/Parent-Core-0.0.107.jar returned status 404
0.0.108			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Core/0.0.108/Parent-Core-0.0.108.jar returned status 404
0.0.109			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Core/0.0.109/Parent-Core-0.0.109.jar returned status 404
0.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Core/0.0.11/Parent-Core-0.0.11.jar returned status 404
0.0.110			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Core/0.0.110/Parent-Core-0.0.110.jar returned status 404
