0.3.1.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/magwas/inez/0.3.1.10/inez-0.3.1.10.jar returned status 404
0.4.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/magwas/inez/0.4.14/inez-0.4.14.jar returned status 404
0.4.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/magwas/inez/0.4.25/inez-0.4.25.jar returned status 404
0.4.25	testing	2025-10-18T05:53:35Z	
