org.tukaani	allowed
com.anatawa12.jarInJar	rejected
com.github.ben-manes.caffeine	rejected
com.github.samtools	rejected
com.hazelcast.jet	rejected
com.innoventsolutions.birt.runtime	rejected
com.julianpeeters	rejected
com.sonatype.clm	rejected
com.timecho.iotdb	rejected
de.m3y.parquet	rejected
dev.3-3	rejected
io.anserini	rejected
io.archivesunleashed	rejected
io.github.marquezproject	rejected
io.github.morganxf	rejected
io.github.seabow	rejected
io.kestra.plugin	rejected
net.neoforged.installertools	rejected
org.apache.avro	rejected
org.apache.inlong	rejected
org.apache.iotdb	rejected
org.apache.parquet	rejected
org.apache.syncope.fit	rejected
org.apache.tika	rejected
org.finos.morphir	rejected
org.incenp	rejected
org.sonarsource.javascript	rejected
