1.0.0	automatic	io.github.nomisrev.openapi	gradle-plugin	2024-06-22T11:38:32Z	
0.0.1	automatic	io.github.nomisrev	openapi-kt-parser-jvm	2024-06-22T11:38:40Z	
0.0.1	automatic	io.github.nomisrev	openapi-kt-parser	2024-06-22T11:38:44Z	
0.0.1	automatic	io.github.nomisrev	openapi-kt-generator-jvm	2024-06-22T11:39:05Z	
0.0.1	automatic	io.github.nomisrev	openapi-kt-generator	2024-06-22T11:39:09Z	
