1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.0/ospf-kotlin-1.0.0.jar returned status 404
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.1/ospf-kotlin-1.0.1.jar returned status 404
1.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.10/ospf-kotlin-1.0.10.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.11/ospf-kotlin-1.0.11.jar returned status 404
1.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.12/ospf-kotlin-1.0.12.jar returned status 404
1.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.13/ospf-kotlin-1.0.13.jar returned status 404
1.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.14/ospf-kotlin-1.0.14.jar returned status 404
1.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.15/ospf-kotlin-1.0.15.jar returned status 404
1.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.16/ospf-kotlin-1.0.16.jar returned status 404
1.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.17/ospf-kotlin-1.0.17.jar returned status 404
1.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.18/ospf-kotlin-1.0.18.jar returned status 404
1.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.19/ospf-kotlin-1.0.19.jar returned status 404
1.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.2/ospf-kotlin-1.0.2.jar returned status 404
