1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/1.0.0/nbasesdk-1.0.0.jar returned status 404
3.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.32/nbasesdk-3.0.32.jar returned status 404
3.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.33/nbasesdk-3.0.33.jar returned status 404
3.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.34/nbasesdk-3.0.34.jar returned status 404
3.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.35/nbasesdk-3.0.35.jar returned status 404
3.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.36/nbasesdk-3.0.36.jar returned status 404
3.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.37/nbasesdk-3.0.37.jar returned status 404
3.0.37.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.37.5/nbasesdk-3.0.37.5.jar returned status 404
3.0.37.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.37.6/nbasesdk-3.0.37.6.jar returned status 404
3.0.37.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.37.7/nbasesdk-3.0.37.7.jar returned status 404
3.0.37.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.37.8/nbasesdk-3.0.37.8.jar returned status 404
3.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.38/nbasesdk-3.0.38.jar returned status 404
3.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.39/nbasesdk-3.0.39.jar returned status 404
3.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.40/nbasesdk-3.0.40.jar returned status 404
3.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.42/nbasesdk-3.0.42.jar returned status 404
3.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.43/nbasesdk-3.0.43.jar returned status 404
3.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.44/nbasesdk-3.0.44.jar returned status 404
3.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.46/nbasesdk-3.0.46.jar returned status 404
3.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.47/nbasesdk-3.0.47.jar returned status 404
3.0.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.65/nbasesdk-3.0.65.jar returned status 404
3.0.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.66/nbasesdk-3.0.66.jar returned status 404
3.0.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.67/nbasesdk-3.0.67.jar returned status 404
3.0.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.68/nbasesdk-3.0.68.jar returned status 404
3.0.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.69/nbasesdk-3.0.69.jar returned status 404
3.0.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.70/nbasesdk-3.0.70.jar returned status 404
3.0.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.71/nbasesdk-3.0.71.jar returned status 404
3.0.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.72/nbasesdk-3.0.72.jar returned status 404
3.0.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.73/nbasesdk-3.0.73.jar returned status 404
3.0.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.74/nbasesdk-3.0.74.jar returned status 404
3.0.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.75/nbasesdk-3.0.75.jar returned status 404
3.0.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nbase/nbasesdk/3.0.76/nbasesdk-3.0.76.jar returned status 404
