0.7.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/joaquimverges/helium/helium-core/0.7.0/helium-core-0.7.0.jar returned status 404
0.8.0		2021-06-04T05:00:01Z	
0.8.0	all	2021-06-04T05:00:02Z	
