org.snakeyaml	allowed
ch.framedev	blocked
com.atlan	blocked
com.datadoghq	blocked
com.saveourtool.diktat	blocked
com.squareup.wire	blocked
com.zmkn	blocked
dev.dejvokep	blocked
eu.koboo	blocked
io.acryl	blocked
io.dscope.camel	blocked
io.github.detekt	blocked
io.github.ethanz0x0	blocked
io.github.frame-dev	blocked
io.github.hexsook	blocked
io.github.kamil-perczynski	blocked
io.github.milkdrinkers	blocked
io.github.phompang	blocked
io.github.pigaut.yaml	blocked
io.github.pigaut.yamlib	blocked
io.gitlab.arturbosch.detekt	blocked
io.kestra.plugin	blocked
io.opentelemetry.contrib	blocked
io.strimzi	blocked
org.frankframework	blocked
org.pkl-lang	blocked
org.sonarsource.iac	blocked
org.workflomics	blocked
ovh.mythmc	blocked
