1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/adobedam/aem-swagger/1.0.0/aem-swagger-1.0.0.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/adobedam/aem-swagger/1.0.11/aem-swagger-1.0.11.jar returned status 404
1.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/adobedam/aem-swagger/1.0.12/aem-swagger-1.0.12.jar returned status 404
