com.fasterxml.jackson.dataformat	allowed
ai.h2o	rejected
ca.derekcormier.recipe	rejected
com.aeontronix.enhanced-mule	rejected
com.aerospike	rejected
com.atlan	rejected
com.browserstack	rejected
com.cjbooms	rejected
com.free-now.sauron.plugins	rejected
com.g2forge.joint	rejected
com.github.flank	rejected
com.github.liuzhenghui	rejected
com.github.starnowski.posmulten	rejected
com.github.starnowski.posmulten.configuration	rejected
com.github.tomakehurst	rejected
com.helpchoice	rejected
com.robotaccomplice	rejected
com.sagframe	rejected
com.sngular	rejected
com.walmartlabs.concord.runtime.v2	rejected
de.firemage.autograder	rejected
de.fraunhofer.aisec	rejected
de.klg71.keycloakmigration	rejected
dev.skyramp	rejected
eu.toop	rejected
io.bdeploy	rejected
io.fabrikt	rejected
io.gitee.kould	rejected
io.github.bxkftechteam	rejected
io.github.karanshah-browserstack	rejected
io.github.pavan2504	rejected
io.github.quickmsg	rejected
io.github.rohitect	rejected
io.github.serpro69	rejected
io.gravitee.apim.rest.api.standalone	rejected
io.gravitee.management.standalone	rejected
io.gravitee.rest.api.standalone	rejected
io.kestra.plugin	rejected
io.liftwizard	rejected
io.neonbee	rejected
io.openlineage	rejected
io.pravega	rejected
io.redskap	rejected
io.substrait	rejected
io.telicent.jena	rejected
io.trino.gateway	rejected
io.vertx	rejected
net.corda	rejected
net.quimmilho.minecraft	rejected
org.apache.beam	rejected
org.apache.dolphinscheduler	rejected
org.apache.flink	rejected
org.apache.plc4x	rejected
org.apache.submarine	rejected
org.apache.zeppelin	rejected
org.apiaddicts.apitools.dosonarapi	rejected
org.archguard.scanner	rejected
org.drools	rejected
org.mlflow	rejected
org.neo4j.procedure	rejected
org.opencb.opencga	rejected
org.openstreetmap.atlas	rejected
org.sheinbergon	rejected
org.testcontainers	rejected
org.wildfly.prospero	rejected
