0.7.9	named	org.monarchinitiative.fenominal	fenominal-core	2023-03-28T13:25:27Z	0.7.9
0.7.10	named	org.monarchinitiative.fenominal	fenominal-core	2023-07-27T21:02:45Z	0.7.10
0.7.11	named	org.monarchinitiative.fenominal	fenominal-core	2024-01-25T22:02:07Z	0.7.11
