0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.1/module-android-dependencies-0.0.1.jar returned status 404
0.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.10/module-android-dependencies-0.0.10.jar returned status 404
0.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.11/module-android-dependencies-0.0.11.jar returned status 404
0.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.12/module-android-dependencies-0.0.12.jar returned status 404
0.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.13/module-android-dependencies-0.0.13.jar returned status 404
0.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.14/module-android-dependencies-0.0.14.jar returned status 404
0.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.15/module-android-dependencies-0.0.15.jar returned status 404
0.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.16/module-android-dependencies-0.0.16.jar returned status 404
0.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.17/module-android-dependencies-0.0.17.jar returned status 404
0.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.18/module-android-dependencies-0.0.18.jar returned status 404
0.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.19/module-android-dependencies-0.0.19.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.2/module-android-dependencies-0.0.2.jar returned status 404
0.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.20/module-android-dependencies-0.0.20.jar returned status 404
0.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.21/module-android-dependencies-0.0.21.jar returned status 404
0.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.22/module-android-dependencies-0.0.22.jar returned status 404
0.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.23/module-android-dependencies-0.0.23.jar returned status 404
0.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.24/module-android-dependencies-0.0.24.jar returned status 404
0.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.25/module-android-dependencies-0.0.25.jar returned status 404
0.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.26/module-android-dependencies-0.0.26.jar returned status 404
0.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.27/module-android-dependencies-0.0.27.jar returned status 404
0.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.28/module-android-dependencies-0.0.28.jar returned status 404
0.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.29/module-android-dependencies-0.0.29.jar returned status 404
0.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.30/module-android-dependencies-0.0.30.jar returned status 404
0.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.32/module-android-dependencies-0.0.32.jar returned status 404
0.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.34/module-android-dependencies-0.0.34.jar returned status 404
0.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.35/module-android-dependencies-0.0.35.jar returned status 404
0.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.36/module-android-dependencies-0.0.36.jar returned status 404
0.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.37/module-android-dependencies-0.0.37.jar returned status 404
0.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.38/module-android-dependencies-0.0.38.jar returned status 404
0.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.39/module-android-dependencies-0.0.39.jar returned status 404
0.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.4/module-android-dependencies-0.0.4.jar returned status 404
0.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.40/module-android-dependencies-0.0.40.jar returned status 404
0.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.41/module-android-dependencies-0.0.41.jar returned status 404
0.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.42/module-android-dependencies-0.0.42.jar returned status 404
0.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.43/module-android-dependencies-0.0.43.jar returned status 404
0.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.44/module-android-dependencies-0.0.44.jar returned status 404
0.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.45/module-android-dependencies-0.0.45.jar returned status 404
0.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.46/module-android-dependencies-0.0.46.jar returned status 404
0.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.47/module-android-dependencies-0.0.47.jar returned status 404
0.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.48/module-android-dependencies-0.0.48.jar returned status 404
0.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.49/module-android-dependencies-0.0.49.jar returned status 404
0.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.5/module-android-dependencies-0.0.5.jar returned status 404
0.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.50/module-android-dependencies-0.0.50.jar returned status 404
0.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.51/module-android-dependencies-0.0.51.jar returned status 404
0.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.52/module-android-dependencies-0.0.52.jar returned status 404
0.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.53/module-android-dependencies-0.0.53.jar returned status 404
0.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.54/module-android-dependencies-0.0.54.jar returned status 404
0.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.55/module-android-dependencies-0.0.55.jar returned status 404
0.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.6/module-android-dependencies-0.0.6.jar returned status 404
0.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.7/module-android-dependencies-0.0.7.jar returned status 404
0.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.8/module-android-dependencies-0.0.8.jar returned status 404
0.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/kotle/module-android-dependencies/0.0.9/module-android-dependencies-0.0.9.jar returned status 404
