1.5.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/vr-payment/vr-payment/1.5.0/vr-payment-1.5.0.jar returned status 404
1.5.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/vr-payment/vr-payment/1.5.1/vr-payment-1.5.1.jar returned status 404
1.5.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/vr-payment/vr-payment/1.5.2/vr-payment-1.5.2.jar returned status 404
2.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/vr-payment/vr-payment/2.0.0/vr-payment-2.0.0.jar returned status 404
2.0.0	debug-javadoc	2026-04-01T13:44:47Z	
2.0.0	debug-sources	2026-04-01T13:44:47Z	
2.0.0	release-javadoc	2026-04-01T13:44:47Z	
2.0.0	release-sources	2026-04-01T13:44:47Z	
2.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/de/vr-payment/vr-payment/2.0.1/vr-payment-2.0.1.jar returned status 404
