1.0-rc1	named	org.torqlang	torqlang-util	2025-09-18T15:23:43Z	1.0-rc1
1.0	named	org.torqlang	torqlang-util	2025-10-19T15:50:35Z	1.0
1.1	named	org.torqlang	torqlang-util	2026-01-06T21:08:53Z	1.1
