1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/1.0.1/soulwing-parent-1.0.1.jar returned status 404
10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/10/soulwing-parent-10.jar returned status 404
11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/11/soulwing-parent-11.jar returned status 404
12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/12/soulwing-parent-12.jar returned status 404
13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/13/soulwing-parent-13.jar returned status 404
14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/14/soulwing-parent-14.jar returned status 404
18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/18/soulwing-parent-18.jar returned status 404
19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/19/soulwing-parent-19.jar returned status 404
2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/2/soulwing-parent-2.jar returned status 404
20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/20/soulwing-parent-20.jar returned status 404
21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/21/soulwing-parent-21.jar returned status 404
22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/22/soulwing-parent-22.jar returned status 404
23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/23/soulwing-parent-23.jar returned status 404
3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/3/soulwing-parent-3.jar returned status 404
4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/4/soulwing-parent-4.jar returned status 404
5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/5/soulwing-parent-5.jar returned status 404
6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/6/soulwing-parent-6.jar returned status 404
7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/7/soulwing-parent-7.jar returned status 404
8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/8/soulwing-parent-8.jar returned status 404
9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/soulwing/soulwing-parent/9/soulwing-parent-9.jar returned status 404
