2021.6.8-beta.0	named	de.sonallux.spotify	spotify-web-api-parser	2021-06-08T09:14:50Z	2021.6.8-beta.0
2021.6.18	named	de.sonallux.spotify	spotify-web-api-parser	2021-06-18T07:34:04Z	2021.6.18
2021.6.30	named	de.sonallux.spotify	spotify-web-api-parser	2021-06-30T13:52:00Z	2021.6.30
2021.7.20	named	de.sonallux.spotify	spotify-web-api-parser	2021-07-20T16:07:25Z	2021.7.20
2021.8.15	named	de.sonallux.spotify	spotify-web-api-parser	2021-08-15T20:04:14Z	2021.8.15
2021.8.23	named	de.sonallux.spotify	spotify-web-api-parser	2021-08-23T19:56:11Z	2021.8.23
2021.10.17	named	de.sonallux.spotify	spotify-web-api-parser	2021-10-25T19:49:06Z	2021.10.17
