0.2.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/jakewharton/crossword/crossword-iosarm32/0.2.0/crossword-iosarm32-0.2.0.jar returned status 404
0.3.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/jakewharton/crossword/crossword-iosarm32/0.3.0/crossword-iosarm32-0.3.0.jar returned status 404
0.3.0	metadata	2023-08-30T15:23:13Z	
