com.fasterxml.woodstox	allowed
com.backpackcloud	blocked
com.checkmarx	blocked
com.github.estuaryoss	blocked
com.github.spoonlabs	blocked
com.github.zuinnote	blocked
com.ibm.jsonata4java	blocked
com.liferay	blocked
com.liferay.portal	blocked
com.testdroid	blocked
de.fraunhofer.iosb.ilt.FROST-Server	blocked
de.gematik.refv	blocked
gov.nih.ncats	blocked
net.nprod	blocked
net.pincette	blocked
org.bidib.jbidib	blocked
org.hpccsystems	blocked
org.immregistries	blocked
org.opengis.cite	blocked
org.sonarsource.slang	blocked
org.uma.jmetal	blocked
se.signatureservice.support	blocked
uk.ac.cam.ch.wwmm.oscar	blocked
