0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.1/moonshine-voice-0.0.1.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.2/moonshine-voice-0.0.2.jar returned status 404
0.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.28/moonshine-voice-0.0.28.jar returned status 404
0.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.29/moonshine-voice-0.0.29.jar returned status 404
0.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.3/moonshine-voice-0.0.3.jar returned status 404
0.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.46/moonshine-voice-0.0.46.jar returned status 404
0.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.47/moonshine-voice-0.0.47.jar returned status 404
0.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.48/moonshine-voice-0.0.48.jar returned status 404
0.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.51/moonshine-voice-0.0.51.jar returned status 404
0.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.52/moonshine-voice-0.0.52.jar returned status 404
0.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.55/moonshine-voice-0.0.55.jar returned status 404
0.0.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.56/moonshine-voice-0.0.56.jar returned status 404
0.0.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.57/moonshine-voice-0.0.57.jar returned status 404
0.0.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.58/moonshine-voice-0.0.58.jar returned status 404
0.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.59/moonshine-voice-0.0.59.jar returned status 404
0.0.61		2026-06-01T19:53:35Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.61/moonshine-voice-0.0.61.jar returned status 404
0.0.62		2026-06-01T23:59:24Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.62/moonshine-voice-0.0.62.jar returned status 404
0.0.63		2026-07-01T23:01:10Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.63/moonshine-voice-0.0.63.jar returned status 404
0.0.64		2026-07-02T23:09:46Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.64/moonshine-voice-0.0.64.jar returned status 404
0.0.65		2026-07-03T00:42:55Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/moonshine/moonshine-voice/0.0.65/moonshine-voice-0.0.65.jar returned status 404
