1.9.9	named	com.zukadev	jdialogs	2023-10-16T15:30:30Z	1.9.9
2.0.10	named	com.zukadev	jdialogs	2026-02-10T06:23:51Z	2.0.10
2.0.14	named	com.zukadev	jdialogs	2026-02-10T15:06:06Z	2.0.14
