0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.0.2/tomitribe-crest-parent-0.0.2.jar returned status 404
0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.10/tomitribe-crest-parent-0.10.jar returned status 404
0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.11/tomitribe-crest-parent-0.11.jar returned status 404
0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.12/tomitribe-crest-parent-0.12.jar returned status 404
0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.13/tomitribe-crest-parent-0.13.jar returned status 404
0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.14/tomitribe-crest-parent-0.14.jar returned status 404
0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.15/tomitribe-crest-parent-0.15.jar returned status 404
0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.16/tomitribe-crest-parent-0.16.jar returned status 404
0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.17/tomitribe-crest-parent-0.17.jar returned status 404
0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.18/tomitribe-crest-parent-0.18.jar returned status 404
0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.19/tomitribe-crest-parent-0.19.jar returned status 404
0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.20/tomitribe-crest-parent-0.20.jar returned status 404
0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.21/tomitribe-crest-parent-0.21.jar returned status 404
0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.22/tomitribe-crest-parent-0.22.jar returned status 404
0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.23/tomitribe-crest-parent-0.23.jar returned status 404
0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.24/tomitribe-crest-parent-0.24.jar returned status 404
0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.25/tomitribe-crest-parent-0.25.jar returned status 404
0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.26/tomitribe-crest-parent-0.26.jar returned status 404
0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.27/tomitribe-crest-parent-0.27.jar returned status 404
0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.28/tomitribe-crest-parent-0.28.jar returned status 404
0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.29/tomitribe-crest-parent-0.29.jar returned status 404
0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.3/tomitribe-crest-parent-0.3.jar returned status 404
0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.30/tomitribe-crest-parent-0.30.jar returned status 404
0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.31/tomitribe-crest-parent-0.31.jar returned status 404
