0.0.1	automatic	software.amazon.smithy.java.codegen.plugins	types	2025-02-06T20:16:28Z	
0.0.2	automatic	software.amazon.smithy.java	types-codegen	2025-04-09T23:13:44Z	
0.0.3	automatic	software.amazon.smithy.java	types-codegen	2025-08-22T16:48:48Z	
