2.0.0-alpha01			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/team/duckie/quackquack/bom/bom/2.0.0-alpha01/bom-2.0.0-alpha01.jar returned status 404
2.0.0-alpha02			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/team/duckie/quackquack/bom/bom/2.0.0-alpha02/bom-2.0.0-alpha02.jar returned status 404
2023.05.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/team/duckie/quackquack/bom/bom/2023.05.17/bom-2023.05.17.jar returned status 404
2023.05.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/team/duckie/quackquack/bom/bom/2023.05.18/bom-2023.05.18.jar returned status 404
2023.05.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/team/duckie/quackquack/bom/bom/2023.05.25/bom-2023.05.25.jar returned status 404
2023.05.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/team/duckie/quackquack/bom/bom/2023.05.27/bom-2023.05.27.jar returned status 404
2023.06.05			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/team/duckie/quackquack/bom/bom/2023.06.05/bom-2023.06.05.jar returned status 404
2023.06.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/team/duckie/quackquack/bom/bom/2023.06.29/bom-2023.06.29.jar returned status 404
2023.07.03			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/team/duckie/quackquack/bom/bom/2023.07.03/bom-2023.07.03.jar returned status 404
2023.07.08			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/team/duckie/quackquack/bom/bom/2023.07.08/bom-2023.07.08.jar returned status 404
2023.07.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/team/duckie/quackquack/bom/bom/2023.07.26/bom-2023.07.26.jar returned status 404
