1.4.0	named	io.github.fatihcatalkaya	java-typst
1.2.0	named	org.questdb	jar-jni
1.1.1	named	org.questdb	jar-jni
1.1.0	named	org.questdb	jar-jni
1.0.0	named	org.questdb	jar-jni
