0.1-alpha			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.1-alpha/quickpose-core-0.1-alpha.jar returned status 404
0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.10/quickpose-core-0.10.jar returned status 404
0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.11/quickpose-core-0.11.jar returned status 404
0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.12/quickpose-core-0.12.jar returned status 404
0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.13/quickpose-core-0.13.jar returned status 404
0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.14/quickpose-core-0.14.jar returned status 404
0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.15/quickpose-core-0.15.jar returned status 404
0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.16/quickpose-core-0.16.jar returned status 404
0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.17/quickpose-core-0.17.jar returned status 404
0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.18/quickpose-core-0.18.jar returned status 404
0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.19/quickpose-core-0.19.jar returned status 404
0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.2/quickpose-core-0.2.jar returned status 404
0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.20/quickpose-core-0.20.jar returned status 404
0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.21/quickpose-core-0.21.jar returned status 404
0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.22/quickpose-core-0.22.jar returned status 404
0.24		2026-08-19T22:06:36Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.24/quickpose-core-0.24.jar returned status 404
0.25		2026-08-26T22:23:07Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.25/quickpose-core-0.25.jar returned status 404
0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.3/quickpose-core-0.3.jar returned status 404
0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.4/quickpose-core-0.4.jar returned status 404
0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.5/quickpose-core-0.5.jar returned status 404
0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.6/quickpose-core-0.6.jar returned status 404
0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.7/quickpose-core-0.7.jar returned status 404
0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.8/quickpose-core-0.8.jar returned status 404
0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/ai/quickpose/quickpose-core/0.9/quickpose-core-0.9.jar returned status 404
