org.bouncycastle	allowed
aero.m-click	blocked
at.ac.ait.lablink.clients	blocked
cn.hyperchain	blocked
co.cloudcheflabs.chango	blocked
com.alibaba.ververica	blocked
com.alipay.sdk	blocked
com.aliyun	blocked
com.aliyun.openservices.aiservice	blocked
com.amazonaws	blocked
com.brightsparklabs	blocked
com.danielflower.apprunner	blocked
com.datarobot	blocked
com.docusign	blocked
com.github.chrislusf	blocked
com.github.roujiamo-cold	blocked
com.github.transbankdevelopers	blocked
com.huntercodexs	blocked
com.iovation.launchkey	blocked
com.joinesty	blocked
com.liferay	blocked
com.liferay.portal	blocked
com.linecorp.armeria	blocked
com.luhuiguo.bouncycastle	blocked
com.omvoid	blocked
com.qcloud	blocked
com.scylladb	blocked
com.sendgrid	blocked
com.shiehub	blocked
com.walmartlabs.concord.k8s	blocked
com.wizzdi	blocked
com.zhaoxiaodan.flink	blocked
de.m3y.prometheus.exporter.fsimage	blocked
de.moritzpetersen	blocked
de.splatgames.aether.pack	blocked
de.wenzlaff.blockchain	blocked
dk.alexandra.fresco	blocked
eu.toop	blocked
io.aiven	blocked
io.castled	blocked
io.cdap.cdap	blocked
io.github.scalahub	blocked
io.github.swiyu-admin-ch	blocked
io.hetu.core	blocked
io.kestra.plugin	blocked
io.kestra.storage	blocked
io.kubernetes	blocked
io.mosip.registration	blocked
io.pravega	blocked
io.streamnative	blocked
io.takamaka.crypto	blocked
io.trino	blocked
it.dhruv	blocked
ltd.icecold	blocked
net.maritimeconnectivity.pki	blocked
net.mbonnin.vespene	blocked
net.snowflake	blocked
org.apache.brooklyn	blocked
org.apache.directory.server	blocked
org.apache.dolphinscheduler	blocked
org.apache.inlong	blocked
org.apache.pinot	blocked
org.apache.pulsar	blocked
org.apache.seatunnel	blocked
org.beigesoft	blocked
org.dcache	blocked
org.eclipse.milo	blocked
org.exploit	blocked
org.finos.legend.depot	blocked
org.finos.legend.sdlc	blocked
org.hyperledger.fabric	blocked
org.iota	blocked
org.jboss.pnc.cleaner	blocked
org.keycloak	blocked
org.mitre	blocked
org.openeuler	blocked
org.pgpainless	blocked
org.radarbase	blocked
org.spxp	blocked
org.terracotta	blocked
org.wso2.charon	blocked
org.wso2.msf4j	blocked
org.wso2.msf4j.example	blocked
org.wso2.msf4j.perftest.echo	blocked
org.wso2.msf4j.sample	blocked
org.wso2.msf4j.samples	blocked
software.amazon.cryptography	blocked
world.convex	blocked
