5.3	named	nl.basjes.parse.httpdlog	httpdlog-pigloader	2020-04-10T22:09:54Z	2.10.3
5.3	named	nl.basjes.parse.httpdlog	httpdlog-serde	2020-04-10T22:10:07Z	2.10.3
5.4	named	nl.basjes.parse.httpdlog	httpdlog-pigloader	2020-08-08T09:36:42Z	2.11.0
5.4	named	nl.basjes.parse.httpdlog	httpdlog-serde	2020-08-08T09:37:07Z	2.11.0
5.5	named	nl.basjes.parse.httpdlog	httpdlog-pigloader	2020-08-10T15:04:36Z	2.11.0
5.5	named	nl.basjes.parse.httpdlog	httpdlog-serde	2020-08-10T15:04:51Z	2.11.0
5.6	named	nl.basjes.parse.httpdlog	httpdlog-pigloader	2020-11-16T20:48:35Z	2.11.0
5.6	named	nl.basjes.parse.httpdlog	httpdlog-serde	2020-11-16T20:48:53Z	2.11.0
5.7	named	nl.basjes.parse.httpdlog	httpdlog-pigloader	2020-12-09T11:33:33Z	2.11.0
5.7	named	nl.basjes.parse.httpdlog	httpdlog-serde	2020-12-09T11:33:54Z	2.11.0
