1.13.0	named	org.gedcomx	gedcom5-conversion	2020-12-08T20:19:17Z	2.10.0
0.3.5	named	io.github.justlel	tghandlers	2022-05-12T18:12:20Z	2.13.2
0.3.6	named	io.github.justlel	tghandlers	2022-05-12T18:14:35Z	2.13.2
