org.java-websocket	allowed
com.enixyu	blocked
com.taosdata.jdbc	blocked
dev.lolyay	blocked
io.github.ashwithpoojary98	blocked
io.github.cb-jarunmadhesh	blocked
io.github.gubaojian	blocked
io.kestra.plugin	blocked
org.jetbrains.kotlinx	blocked
