1.0.0-beta01			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/greencode-cz/phraseapp/io.github.greencode-cz.phraseapp.gradle.plugin/1.0.0-beta01/io.github.greencode-cz.phraseapp.gradle.plugin-1.0.0-beta01.jar returned status 404
1.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/greencode-cz/phraseapp/io.github.greencode-cz.phraseapp.gradle.plugin/1.0.15/io.github.greencode-cz.phraseapp.gradle.plugin-1.0.15.jar returned status 404
1.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/greencode-cz/phraseapp/io.github.greencode-cz.phraseapp.gradle.plugin/1.0.17/io.github.greencode-cz.phraseapp.gradle.plugin-1.0.17.jar returned status 404
