2.0.0	br.com.objectos.oss-java11	objectos-core-logging	2.0.0
0.7.0-jdk17	br.com.objectos	core-logging	0.7.0-jdk17
0.7.0-jdk11	br.com.objectos	core-logging	0.7.0-jdk11
