io.netty	allowed
com.arcadedb	rejected
com.urbanairship	rejected
io.github.linagora.linid.im	rejected
io.github.lukaszsamson	rejected
io.kestra.plugin	rejected
net.neoforged.jst	rejected
org.apache.arrow	rejected
org.apache.flink	rejected
org.apache.iceberg	rejected
org.apache.kyuubi	rejected
org.apache.polaris	rejected
org.apache.tika	rejected
org.atsign	rejected
org.lance	rejected
org.lucee	rejected
org.opendaylight.bgpcep	rejected
org.opendaylight.controller	rejected
org.opendaylight.jsonrpc	rejected
org.opendaylight.netconf	rejected
org.wso2.orbit.rabbitmq	rejected
